"region","area_sq_km"
"38_-92",9679.680216166
"38_-93",9684.01786687
"38_-94",9683.15334604
"38_-95",9683.05260076
"38_-96",9683.05260076
"38_-97",9683.61671913
"38_-98",9683.05260076
"38_-99",9683.05260076
"39_-100",9551.195686706
"39_-101",9543.9479320117
"39_-102",9549.33329665713
"39_-103",9549.34299215
"39_-104",9551.131290901
"39_-105",9545.89398674
"39_-106",9549.34299215
"39_-107",9549.34299215
"39_-108",9549.34299215
"39_-109",9549.405857841
"39_-110",9549.34299215
"39_-111",9548.72050349
"39_-112",9552.736420803
"39_-113",9549.34299215
"39_-114",9549.413716915
"39_-115",9549.34299215
"39_-116",9549.34299215
"39_-117",9549.34299215
"39_-118",9549.34299215
"39_-119",9552.20824126201
"39_-120",9546.87638105709
"39_-121",9546.39341876
"39_-122",9545.94579023
"39_-123",7679.203515647
"39_-124",2.06740998098
"39_-74",5718.57034631
"39_-75",8561.505121832
"39_-76",8319.74007901
"39_-77",9550.86613206843
"39_-78",9553.58773925
"39_-79",9549.34299215
"39_-80",9544.620557532
"39_-81",9551.98225893
"39_-82",9544.85590136577
"39_-83",9554.189850669
"39_-84",9551.283769065
"39_-85",9549.34299215
"39_-86",9549.34299215
"39_-87",9549.1694588878
"39_-88",9549.34299215
"39_-89",9549.34299215
"39_-90",9553.406577865
"39_-91",9545.09615722
"39_-92",9552.71537674
"39_-93",9551.3186816531
"39_-94",9553.53068178
"39_-95",9545.607068
"39_-96",9545.22470904
"39_-97",9550.060401357
"39_-98",9549.34299215
"39_-99",9549.34299215
"40_-100",9412.6770369318
"40_-101",9415.34823749885
"40_-102",9410.585371553
"40_-103",9412.67703693
"40_-104",9410.19307966638
"40_-105",9411.02294542703
"40_-106",9408.29113955495
"40_-107",9407.7941064512
"40_-108",9407.98872078467
"40_-109",9409.6309677093
"40_-110",9408.16146072274
"40_-111",9414.24765448
"40_-112",9412.67703693
"40_-113",9412.67703693
"40_-114",9412.814783173
"40_-115",9412.67703693
"40_-116",9412.67703693
"40_-117",9412.67703693
"40_-118",9412.67703693
"40_-119",9412.7080808598
"40_-120",9415.14364803
"40_-121",9415.210628171
"40_-122",9416.07423885
"40_-123",9412.67703693
"40_-124",2270.78650825
"40_-72",1018.6014239
"40_-73",2875.5795811094
"40_-74",8891.5773932174
"40_-75",9413.5894658826
"40_-76",9412.67703692
"40_-77",9414.927880471
"40_-78",9412.67703693
"40_-79",9412.67703693
"40_-80",9412.856600815
"40_-81",9412.67703693
"40_-82",9413.47143623
"40_-83",9412.67703693
"40_-84",9412.6574569
"40_-85",9409.487395401
"40_-86",9409.32062637
"40_-87",9413.1843591132
"40_-88",9412.67703693
"40_-89",9412.67703693
"40_-90",9412.11991914108
"40_-91",9416.92387187
"40_-92",9412.67703693
"40_-93",9412.67703692
"40_-94",9412.67703692
"40_-95",9414.3306536027
"40_-96",9416.79532004
"40_-97",9411.9148538817
"40_-98",9412.677036926
"40_-99",9412.6770369317
"41_-100",9273.09175745
"41_-101",9275.81561702
"41_-102",9275.9633062274
"41_-103",9270.6510610945
"41_-104",9273.1828111289
"41_-105",9273.6470718672
"41_-106",9277.4776548234
"41_-107",9277.9746879336
"41_-108",9277.78007359431
"41_-109",9276.96659149837
"41_-110",9277.607333653
"41_-111",9270.0372809305
"41_-112",9269.05768817394
"41_-113",9273.091757444
"41_-114",9273.716558665
"41_-115",9273.0917574472
"41_-116",9270.940387452
"41_-117",9271.0562628762
"41_-118",9273.0917574443
"41_-119",9273.1107603205
"41_-120",9273.0917574442
"41_-121",9270.2457718163
"41_-122",9268.6736229186
"41_-123",9269.6508542287
"41_-124",1188.6099398061
"41_-69",3.88032131889
"41_-70",2428.35418608
"41_-71",5247.36385096
"41_-72",6810.40123184763
"41_-73",8636.51652547336
"41_-74",9273.293895747
"41_-75",9273.64575718556
"41_-76",9269.09789460961
"41_-77",9269.19695464188
"41_-78",9271.59894912344
"41_-79",9268.824903524
"41_-80",8885.4648445101
"41_-81",5949.83747204
"41_-82",4150.77044195148
"41_-83",8040.74110593
"41_-84",9273.6519670645
"41_-85",9276.28139897
"41_-86",8491.36727954
"41_-87",7403.249357298
"41_-88",9273.09175745
"41_-89",9273.09175745
"41_-90",9271.29443659
"41_-91",9273.091757451
"41_-92",9273.09175745
"41_-93",9270.43656395
"41_-94",9270.28529567
"41_-95",9275.174064924
"41_-96",9269.2463797719
"41_-97",9273.853940494
"41_-98",9272.6311976069
"41_-99",9273.09175745
"42_-100",9128.7934458146
"42_-101",9125.7553327687
"42_-102",9126.39950068332
"42_-103",9129.36843306841
"42_-104",9132.70485794465
"42_-105",9135.172987264
"42_-106",9127.112220751
"42_-107",9130.62520477
"42_-108",9130.62520476
"42_-109",9130.62520476
"42_-110",9130.62520476
"42_-111",9132.04851164571
"42_-112",9134.65927403272
"42_-113",9130.62520476
"42_-114",9130.62520476
"42_-115",9130.62520477
"42_-116",9132.7765747652
"42_-117",9132.2546045153
"42_-118",9130.62520476
"42_-119",9130.62520476
"42_-120",9130.62520477
"42_-121",9133.6053260713
"42_-122",9135.0433393001
