region,area_sq_km,national,prov_state,bcr
US-WA-10,22876.08348,US,WA,10
US-WA-5,52629.00809,US,WA,5
US-WA-9,99497.40896,US,WA,9
US-WI-12,46194.38968,US,WI,12
US-WI-22,1316.460034,US,WI,22
US-WI-23,98330.49869,US,WI,23
US-WV-28,62692.4925,US,WV,28
US-WY-10,165734.9472,US,WY,10
US-WY-16,10978.85712,US,WY,16
US-WY-17,64730.2089,US,WY,17
US-WY-18,12182.58154,US,WY,18
